SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
GLS18I5FORBW,Bliss Inverter Split AC 1.5 - 5 Star,41 470.00,60 990.00,Not Available,95%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i5forbw.jpg
GLS18I5FORBV,Bliss Inverter Split AC 1.5 - 5 Star,43 310.00,61 990.00,Not Available,95%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | PM2.5Filter | Golden Fin Evaporator | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i5forbv.jpg
GLS12I3FOSBV,Bliss Split AC 1.0 - 3 Star,32 250.00,45 990.00,Not Available,95%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | PM 2.5 filter | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i3fosbv.jpg
GLS18I3FOSBW,Bliss Split AC 1.5 - 3 Star,35 940.00,53 990.00,Not Available,95%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Eco Friendly Refrigerant | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Anti Corrosion Coating | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3fosbw_1.jpg
GLS18I3FOSBV,Bliss Inverter Split AC 1.5 - 3 Star,35 940.00,54 990.00,Not Available,95%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | PM2.5Filter | Golden Fin Evaporator | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3fosbv_1.jpg
GLS12I5FWGEV,Element Split AC Inverter - 1.0 - 5 Star,37 780.00,52 990.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | PM2.5Filter | Golden Fin Evaporator | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/AC/GLS12I5FWGEV.jpg
GLS12I3FOCSR,Element Split AC 1.0 - 3 Star,32 250.00,46 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/e/l/element_split_ac_3_star.jpg
GLS18I5KOCGR,Element Split AC 1.5 - 5 Star,43 310.00,62 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i5kocgr_1_1.jpg
GLS18I5KWCGW,Element Split AC 1.5 - 5 Star,41 470.00,61 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/e/l/element_split_ac_1.5_-_5_star_1.jpg
GLS18I5KWCGR,Element Split AC 1.5 - 5 Star,43 310.00,62 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/e/l/element_split_ac_1.5_-_5_star.jpg
GLS18I3KOCSR,Element Split AC 1.5 - 3 Star,35 940.00,55 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | Stabilizer Free Operation | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/e/l/element_split_ac_3_star_1.jpg
GLS12I5FOGEA,Element Split AC 1.0 - 5 Star,37 780.00,52 990.00,Not Available,80%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Eco Friendly Refrigerant | WiFi Ready (Optional WiFi) | PM 2.5 filter | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i5fogea.jpg
GLS18I5FOGEV,Element Inverter Split AC 1.5 - 5 Star,43 310.00,61 990.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | PM2.5Filter | Golden Fin Evaporator | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i5fogev.jpg
GLS24I5FWGEV,Element Split AC 2.0 - 5 Star,53 450.00,78 990.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/AC/GLS24I5FWGEV.jpg
GLS24I3KWSEM,Element Split AC 2.0 - 3 Star,47 000.00,71 490.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls24i3kwsem_1_.jpg
GLS12I3FOSEV,Element Split AC 1.0 - 3 Star,32 250.00,45 990.00,Not Available,100%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | PM 2.5 filter | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i3fosev.jpg
GLS18I3FWSEW,Element Split AC 1.5 - 3 Star,35 940.00,53 990.00,Not Available,95%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Eco Friendly Refrigerant | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Anti Corrosion Coating | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3fwsew.jpg
GLS18I3FOSEW,Element Split AC 1.5 - 3 Star,35 940.00,53 990.00,Not Available,95%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Eco Friendly Refrigerant | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Anti Corrosion Coating | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3fosew.jpg
GLS18V3KWCSR,Element Split AC 1.5 - 3 Star,35 940.00,55 990.00,Not Available,80%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | Stabilizer Free Operation | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18v3kwcsr.jpg
GLS12I3FWSEA,Element Split AC Inverter - 1.0 - 3 Star,32 250.00,45 990.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | PM 2.5 Filter | Golden Fin Evaporator | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/AC/GLS12I3FWSEA.jpg
GLS15I3FWSEV,Element Split AC 1.2 - 3 Star,34 100.00,50 490.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/AC/GLS15I3FWSEV.jpg
GLS12I5FOBAA,Sapphire Split AC 1.0 - 5 Star,37 780.00,52 990.00,Not Available,100%,Not Available,1 N,5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Anti-Viral Dust Filter | PM2.5Filter | Golden Fin Evaporator | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i5fobaa_1.jpg
GLS18I3KOHSR,Sapphire Split AC 1.5 - 3 Star,35 940.00,55 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i3kohsr_1__1.jpg
GLS18I5KWHGR,Sapphire Split AC 1.5 - 5 Star,43 310.00,62 990.00,Not Available,95%,Not Available,1 N,6 in 1 Convertible (40 / 60 / 80 / 100 / 110 / Auto) | Smart 4-Way Swing | Turbo Cool | Installation Check | Low Gas Detection | Clean Filter Indication | WiFi Ready (Optional WiFi) | Clean Air Filter | Golden Fin Evaporator | Hidden LED Display | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls18i5kwhgr.jpg
GLS12I5FOGAD,Sapphire Split AC 1.0 - 5 Star,36 860.00,51 990.00,Not Available,100%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Golden Fin Evaporator | WiFi Ready (Optional WiFi) | Eco Friendly Refrigerant | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/g/l/gls12i5fogad_1.jpg
GLS18I3FOBBW,Sapphire Split AC 1.5 - 3 Star,35 940.00,53 990.00,Not Available,80%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Anti Corrosion Coating | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | Eco Friendly Refrigerant | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/a/sapphire_silver_1__1.jpg
GLS18I3FOAEV,Sapphire Split AC 1.5 - 3 Star,35 940.00,54 990.00,Not Available,95%,Not Available,1 N,100 % Copper | Turbo Cool | Stabilizer Free Operation | Smart 4-Way Swing | Anti-Viral Dust Filter | 5 in 1 Convertible (40 / 60 / 80 / 100 / Auto) | PM 2.5 filter | WiFi Ready (Optional WiFi) | Golden Fin Evaporator | Strong Dehumidifier | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/a/sapphire_silver_1_.jpg
